del alma
de la llama
de la hoguera
del bosque
de la piedra
del fuego
del horizonte
del templo
de la sangre
de la guerra
de la tumba
de la senda
de los mares
de las mazmorras
del cáliz
de los muertos
de los dioses
de la espesura
del canto
de la mente
del libro
de la espada
de fuego
de hielo
del relámpago
del trueno
del escudo
de la oscuridad
de la luz
de la batalla
de la magia
de la música
del castillo
del reino
de las hadas
de la tempestad
de la orden
del clan
de la tribu
del infierno
de las olas
de los dragones
de las armas
de los diablos
de los infieles
de los justos
de la peste
de la inmundicia
de la gloria
del triunfo
de la danza
de las estrellas
de los elementos
de la naturaleza
del vacío
de los huesos
de la corrupción
del castigo
de la daga
de la daga
del yelmo
del guante
de plata
de oro
de mithril
de platino
de las gemas
de los espíritus
de la canción
de la noche
del alba
de la tarde
de las bestias
de la hechicería
del colegio
de la escuela
de la congregación
de los velos
de la piel
del símbolo
de la esencia
de la fortaleza
de la torre
del orbe
de la varita
de la garra
del amuleto
del signo
del estandarte
de la bandera
de la marca
de las runas
de los túneles
del león
del tigre
de las profundidades
de la ciudad
